"title","author","journal","number","cites","year","cid","pubid"
"Inverse sensitivity analysis of mathematical models avoiding the curse of dimensionality","B Lambert, DJ Gavaghan, S Tavener","BioRxiv","432393",3,2018,"790034915153664965","Tyk-4Ss8FVUC"
"Health inequities and clustering of fever, acute respiratory infection, diarrhoea and wasting in children under five in low-and middle-income countries: a Demographic and …","P Winskill, AB Hogan, J Thwing, L Mwandigha, PGT Walker, B Lambert","BMC medicine","19 (1), 1-11",2,2021,"14567010378043577567","k_IJM867U9cC"
"Context-specific emergence and growth of the SARS-CoV-2 Delta variant.","M Kraemer, J McCrone, V Hill, S Bajaj, R Evans-Pena, B Lambert, ...","Research Square","",2,2021,"6443329307624928916","NaGl4SEjCO4C"
"Trends in comparative efficacy and safety of malaria control interventions for maternal and child health outcomes in Africa: a study protocol for a Bayesian network meta …","F Amimo, TD Moon, A Magit, J Sacarlal, B Lambert, S Nomura","BMJ open","9 (2), e024313",2,2019,"15439269531327774902","5nxA0vEk-isC"
"Risk of Plasmodium falciparum infection in south-west Burkina Faso: potential impact of expanding eligibility for seasonal malaria chemoprevention","JB Yaro, AB Tiono, A Ouedraogo, B Lambert, ZA Ouedraogo, A Diarra, ...","Scientific Reports","12 (1), 1-11",1,2022,"2215833303397438634","hMod-77fHWUC"
"Changes in transmission of Enterovirus D68 (EV-D68) in England inferred from seroprevalence data","M Pons-Salort, B Lambert, E Kamau, R Pebody, H Harvala, P Simmonds, ...","medRxiv","",1,2021,"10939939634999200247","ns9cj8rnVeAC"
"Using flexible noise models to avoid noise model misspecification in inference of differential equation time series models","R Creswell, B Lambert, CL Lei, M Robinson, D Gavaghan","arXiv preprint arXiv:",":2011.04854",1,2020,"4631648244452166517","TQgYirikUcIC"
"Reviewing the evidence for and against selection of specific pyrethroids for programmatic purposes","N Lissenden, T Churcher, P Hancock, HM Ismail, M Kont, B Lambert, ...","","",1,2020,"9378646506898608323","j3f4tGmQtD8C"
"A new WHO bottle bioassay method to assess the susceptibility of mosquito vectors to public health insecticides: results from a WHO-coordinated multi-centre study","V Corbel, MD Kont, ML Ahumada, L Andréo, B Bayili, K BAYILI, B Brooke, ...","","",0,2022,NA,"4OULZ7Gr8RgC"
"Using patient biomarker time series to determine mortality risk in hospitalised COVID-19 patients: a comparative analysis across two New York hospitals","B Lambert, IJ Stopard, A Momeni-Boroujeni, R Mendoza, A Zuretti","PloS one","17 (8), e0272442",0,2022,NA,"RGFaLdJalmkC"
"Context-specific emergence and growth of the SARS-CoV-2 Delta variant","JT McCrone, V Hill, S Bajaj, RE Pena, BC Lambert, R Inward, S Bhatt, ...","Nature","1-3",0,2022,NA,"fPk4N6BV_jEC"
"The influence of selection, drift and immigration on the diversity of a tropical tree community","B Lambert, A Leroi","","",0,2022,NA,"rO6llkc54NcC"
"Learning transmission dynamics modelling of COVID-19 using comomodels","SA van der Vegt, L Dai, I Bouros, HJ Farm, R Creswell, O Dimdore-Miles, ...","Mathematical biosciences","108824",0,2022,NA,"M05iB0D1s5AC"
"Movement behaviour after birth demonstrates precocial abilities of African savannah elephant, Loxodonta africana, calves","LA Taylor, G Wittemyer, B Lambert, I Douglas-Hamilton, F Vollrath","Animal Behaviour","187, 331-353",0,2022,NA,"vV6vV6tmYwMC"
"A Bayesian nonparametric method for detecting rapid changes in disease transmission","R Creswell, M Robinson, D Gavaghan, KV Parag, CL Lei, B Lambert","medRxiv","",0,2022,NA,"u_35RYKgDlwC"
"The influence of selection, drift and immigration on the diversity of a tropical tree community","JC Vian, B Lambert, A Leroi","bioRxiv","",0,2022,NA,"ZHo1McVdvXMC"
"A Meta-analysis of Longevity Estimates of Mosquito Vectors of Disease","B Lambert, A North, C Godfray","bioRxiv","",0,2022,NA,"pqnbT2bcN3wC"
"Treatment response prediction: Is model selection unreliable?","D Augustin, AC Walz, K Wang, B Lambert, M Clerx, M Robinson, ...","bioRxiv","",0,2022,NA,"2P1L_qKh6hAC"
"REVIEWING THE EVIDENCE FOR AND AGAINST SELECTION OF SPECIFIC PYRETHROIDS FOR PROGRAMMATIC PURPOSES","RS Lees, N Lissenden, T Churcher, P Hancock, H Ismail, M Kont, ...","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","105 (5), 432-432",0,2021,NA,"g5m5HwL7SMYC"
"Neutral Theory is a tool that should be wielded with care","AM Leroi, B Lambert, J Rosindell, GD Kokkoris","Nature Human Behaviour","5 (7), 809-809",0,2021,NA,"M3NEmzRMIkIC"
"Supplementary materials: R convergence diagnostic","B Lambert, A Vehtari","arXiv preprint arXiv:",":2003.07900",0,2020,NA,"YFjsv_pBGBYC"
"INEQUITIES IN THE BURDEN OF FEVER, DIARRHEA AND ACUTE RESPIRATORY INFECTION IN CHILDREN UNDER FIVE IN LOW-AND MIDDLE-INCOME COUNTRIES AND THE ROLE OF INTEGRATED COMMUNITY CASE …","P Winskill, B Lambert, AB Hogan, PG Walker","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","101, 222-223",0,2019,NA,"_kc_bZDykSQC"
"A RIGOROUS AND REPRODUCIBLE BAYESIAN METHOD FOR DETERMINATION OF THE ORIGINS OF MALARIA INFECTION IN AREAS APPROACHING ELIMINATION","B Lambert, S Bhatt, T Churcher","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","99 (4), 357-357",0,2018,NA,"8k81kl-MbHgC"
"Understanding mosquito vectors and methods for their control","B Lambert","University of Oxford","",0,2017,NA,"9yKSN-GCB0IC"
"Current Research in Parasitology & Vector-Borne Diseases","RK Nash, B Lambert, R NʼGuessan, C Ngufor, M Rowland, R Oxborough, ...","","",0,NA,NA,"blknAaTinKkC"
