"title","author","journal","number","cites","year","cid","pubid"
"Movement reveals reproductive tactics in male elephants","LA Taylor, F Vollrath, B Lambert, D Lunn, I Douglas‐Hamilton, ...","Journal of Animal Ecology","89 (1), 57-67",27,2020,"16143328675511206653","MXK_kJrjxJIC"
"The pace of modern culture","B Lambert, G Kontonatsios, M Mauch, T Kokkoris, M Jockers, ...","Nature Human Behaviour","4 (4), 352-360",26,2020,"14068337981691611342","Zph67rFs4hoC"
"The use of driving endonuclease genes to suppress mosquito vectors of malaria in temporally variable environments","B Lambert, A North, A Burt, HCJ Godfray","Malaria journal","17, 1-14",22,2018,"18035449431306822776","UeHWp8X0CEIC"
"Neutral syndrome","AM Leroi, B Lambert, J Rosindell, X Zhang, GD Kokkoris","Nature human behaviour","4 (8), 780-790",21,2020,"3792485849235570178","aqlVkmm33-oC"
"Systematic review of the entomological impact of insecticide-treated nets evaluated using experimental hut trials in Africa","RK Nash, B Lambert, R NʼGuessan, C Ngufor, M Rowland, R Oxborough, ...","Current research in parasitology & vector-borne diseases","1, 100047",19,2021,"6819387533168951936","bEWYMUwI8FkC"
"Endemic and epidemic human alphavirus infections in eastern Panama: An analysis of population-based cross-sectional surveys","JP Carrera, ZM Cucunuba, K Neira, B Lambert, Y Pittí, J Liscano, ...","The American Journal of Tropical Medicine and Hygiene","103 (6), 2429",19,2020,"15239144159974240452","KlAtU1dfN6UC"
"A review of prospective pathways and impacts of COVID-19 on the accessibility, safety, quality, and affordability of essential medicines and vaccines for universal health …","F Amimo, B Lambert, A Magit, M Hashizume","Globalization and health","17 (1), 1-15",18,2021,"5340153401644755966","iH-uZ7U-co4C"
"Review and meta-analysis of the evidence for choosing between specific pyrethroids for programmatic purposes","N Lissenden, MD Kont, J Essandoh, HM Ismail, TS Churcher, B Lambert, ...","Insects","12 (9), 826",17,2021,"5496717770666301984","JV2RwH3_ST0C"
"Exploring movement decisions: Can Bayesian movement‐state models explain crop consumption behaviour in elephants (Loxodonta africana)?","SM Vogel, B Lambert, AC Songhurst, GP McCulloch, AL Stronza, ...","Journal of Animal Ecology","89 (4), 1055-1068",14,2020,"3162129542351890576","YOwf2qJgpHMC"
"What does the COVID-19 pandemic mean for HIV, tuberculosis, and malaria control? Trop Med Health. 2020; 48: 32","F Amimo, B Lambert, A Magit","","",13,NA,"5003931826637390615","r0BpntZqJG4C"
"R∗: A robust MCMC convergence diagnostic with uncertainty using decision tree classifiers","B Lambert, A Vehtari","Bayesian Analysis","17 (2), 353-379",12,2022,"8256056172054141384","_Qo2XoVZTnwC"
"A dynamic Bayesian model for identifying high-mortality risk in hospitalized COVID-19 patients","A Momeni-Boroujeni, R Mendoza, IJ Stopard, B Lambert, A Zuretti","Infectious Disease Reports","13 (1), 239-250",10,2021,"14076369863050383199","4JMBOYKVnBMC"
"Estimating the extrinsic incubation period of malaria using a mechanistic model of sporogony","IJ Stopard, TS Churcher, B Lambert","PLoS computational biology","17 (2), e1008658",10,2021,"5149125304854441626","hFOr9nPyWt4C"
"Heterogeneity in the onwards transmission risk between local and imported cases affects practical estimates of the time-dependent reproduction number","R Creswell, D Augustin, I Bouros, HJ Farm, S Miao, A Ahern, M Robinson, ...","Philosophical Transactions of the Royal Society A","380 (2233), 20210308",8,2022,"12360493920536302732","HoB7MX3m0LUC"
"A new WHO bottle bioassay method to assess the susceptibility of mosquito vectors to public health insecticides: results from a WHO-coordinated multi-centre study","V Corbel, MD Kont, ML Ahumada, L Andréo, B Bayili, K Bayili, B Brooke, ...","Parasites & Vectors","16 (1), 1-17",7,2023,"5725329530423037307","4OULZ7Gr8RgC"
"Health inequities and clustering of fever, acute respiratory infection, diarrhoea and wasting in children under five in low-and middle-income countries: a Demographic and …","P Winskill, AB Hogan, J Thwing, L Mwandigha, PGT Walker, B Lambert","BMC medicine","19 (1), 1-11",7,2021,"14567010378043577567","k_IJM867U9cC"
"On revolutions","AM Leroi, B Lambert, M Mauch, M Papadopoulou, S Ananiadou, ...","Palgrave Communications","6 (1), 1-11",7,2020,"6023655679579834322","d1gkVwhDpl0C"
"Functional data analysis techniques to improve the generalizability of near-infrared spectral data for monitoring mosquito populations","PM Esperança, DF Da, B Lambert, RK Dabiré, TS Churcher","bioRxiv","2020.04. 28.058495",6,2020,"4079660297218475160","M3ejUd6NZC8C"
"A Monte Carlo method to estimate cell population heterogeneity","B Lambert, DJ Gavaghan, S Tavener","bioRxiv","758284",6,2019,"285792829179463184,12872846560738609050","kNdYIx-mwKoC"
"The potential impact of the COVID-19 pandemic on HIV, tuberculosis, and malaria control in Africa: a systematic review of modelling studies and population surveys","F Amimo, B Lambert, A Magit, M Hashizume","","",5,2020,"12004316005460458489","mB3voiENLucC"
"HIV-1 p24Gag adaptation to modern and archaic HLA-allele frequency differences in ethnic groups contributes to viral subtype diversification","NC Kist, B Lambert, S Campbell, A Katzourakis, D Lunn, P Lemey, ...","Virus Evolution","6 (2), veaa085",5,2020,"2443007115765028552","HDshCWvjkbEC"
"Model evidence with fast tree based quadrature","T Foster, CL Lei, M Robinson, D Gavaghan, B Lambert","arXiv preprint arXiv:",":2005.11300",5,2020,"2612252036941875857","mVmsd5A6BfQC"
"Using flexible noise models to avoid noise model misspecification in inference of differential equation time series models","R Creswell, B Lambert, CL Lei, M Robinson, D Gavaghan","arXiv preprint arXiv:",":2011.04854",3,2020,"4631648244452166517","TQgYirikUcIC"
"Trends in comparative efficacy and safety of malaria control interventions for maternal and child health outcomes in Africa: a study protocol for a Bayesian network meta …","F Amimo, TD Moon, A Magit, J Sacarlal, B Lambert, S Nomura","BMJ open","9 (2), e024313",3,2019,"15439269531327774902","5nxA0vEk-isC"
"Inverse sensitivity analysis of mathematical models avoiding the curse of dimensionality","B Lambert, DJ Gavaghan, S Tavener","BioRxiv","432393",3,2018,"790034915153664965","Tyk-4Ss8FVUC"
"A Bayesian nonparametric method for detecting rapid changes in disease transmission","R Creswell, M Robinson, D Gavaghan, KV Parag, CL Lei, B Lambert","Journal of Theoretical Biology","558, 111351",2,2023,"9188579782071281821","u_35RYKgDlwC"
"Learning transmission dynamics modelling of COVID-19 using comomodels","SA van der Vegt, L Dai, I Bouros, HJ Farm, R Creswell, O Dimdore-Miles, ...","Mathematical Biosciences","349, 108824",2,2022,"4989806215243310401","M05iB0D1s5AC"
"Risk of Plasmodium falciparum infection in south-west Burkina Faso: potential impact of expanding eligibility for seasonal malaria chemoprevention","JB Yaro, AB Tiono, A Ouedraogo, B Lambert, ZA Ouedraogo, A Diarra, ...","Scientific Reports","12 (1), 1402",2,2022,"2215833303397438634","hMod-77fHWUC"
"Reviewing the evidence for and against selection of specific pyrethroids for programmatic purposes","N Lissenden, T Churcher, P Hancock, HM Ismail, M Kont, B Lambert, ...","Liverpool Insect Testing Establishment","",2,2021,"9378646506898608323","j3f4tGmQtD8C"
"Autocorrelated measurement processes and inference for ordinary differential equation models of biological systems","B Lambert, CL Lei, M Robinson, M Clerx, R Creswell, S Ghosh, S Tavener, ...","Journal of the Royal Society Interface","20 (199), 20220725",1,2023,"2273051367402603087","dfsIfKJdRG4C"
"Genomic assessment of invasion dynamics of SARS-CoV-2 Omicron BA. 1","LH Tsui, B Lambert, S Bajaj, JT McCrone, RPD Inward, P Bosetti, V Hill, ...","medRxiv","2023.01. 02.23284109",1,2023,"3007592664532061918","pyW8ca7W8N0C"
"Movement behaviour after birth demonstrates precocial abilities of African savannah elephant, Loxodonta africana, calves","LA Taylor, G Wittemyer, B Lambert, I Douglas-Hamilton, F Vollrath","Animal Behaviour","187, 331-353",1,2022,"11568361822912015955","vV6vV6tmYwMC"
"The influence of selection, drift and immigration on the diversity of a tropical tree community","J Cid Vian, B Lambert, A Leroi","bioRxiv","2022.06. 27.497655",1,2022,"3713295861023789441","ZHo1McVdvXMC"
"Changes in transmission of Enterovirus D68 (EV-D68) in England inferred from seroprevalence data","M Pons-Salort, B Lambert, E Kamau, R Pebody, H Harvala, P Simmonds, ...","medRxiv","2021.11. 08.21265913",1,2021,"10939939634999200247","ns9cj8rnVeAC"
"Filter inference: A scalable nonlinear mixed effects inference approach for snapshot time series data","D Augustin, B Lambert, K Wang, AC Walz, M Robinson, D Gavaghan","PLOS Computational Biology","19 (5), e1011135",0,2023,NA,"a0OBvERweLwC"
"SUPPLEMENTARY FILE: AUTOCORRELATED MEASUREMENT","B Lambert, CL Lei, M Robinson, M Clerx, R Creswell, S Ghosh, S Tavener, ...","","",0,2023,NA,"CHSYGLWDkRkC"
"Genomic assessment of invasion dynamics of SARS-CoV-2 Omicron BA. 1 (preprint)","LH Tsui, B Lambert, S Bajaj, JT McCrone, RPD Inward, P Bosetti, V Hill, ...","","",0,2023,NA,"bFI3QPDXJZMC"
"Power analysis for human melatonin suppression experiments","M Spitschan, P Vidafar, SW Cain, AJK Phillips, BC Lambert","bioRxiv","2023.01. 30.526303",0,2023,NA,"f2IySw72cVMC"
"Epidemiological Agent-Based Modelling Software (Epiabm)","K Gallagher, I Bouros, N Fan, E Hayman, L Heirene, P Lamirande, ...","arXiv preprint arXiv:",":2212.04937",0,2022,NA,"D03iK_w7-QYC"
"Encoding generation time changes within reproduction numbers","KV Parag, BJ Cowling, BC Lambert","medRxiv","2022.10. 19.22281255",0,2022,NA,"cFHS6HbyZ2cC"
"Using patient biomarker time series to determine mortality risk in hospitalised COVID-19 patients: a comparative analysis across two New York hospitals","B Lambert, IJ Stopard, A Momeni-Boroujeni, R Mendoza, A Zuretti","Plos one","17 (8), e0272442",0,2022,NA,"RGFaLdJalmkC"
"The influence of selection, drift and immigration on the diversity of a tropical tree community","B Lambert, A Leroi","","",0,2022,NA,"rO6llkc54NcC"
"A multistage mixed-methods evaluation of the UKHSA testing response during the COVID-19 pandemic in England (preprint)","R Naidoo, B Andersen-waine, P Dahal, S Dickinson, B Lambert, M Mills, ...","","",0,2022,NA,"NhqRSupF_l8C"
"A multistage mixed-methods evaluation of the UKHSA testing response during the COVID-19 pandemic in England","R Naidoo, B Andersen-Waine, P Dahal, S Dickinson, B Lambert, M Mills, ...","medRxiv","2022.10. 27.22281604",0,2022,NA,"yD5IFk8b50cC"
"A Meta-analysis of Longevity Estimates of Mosquito Vectors of Disease","B Lambert, A North, C Godfray","bioRxiv","2022.05. 30.494059",0,2022,NA,"pqnbT2bcN3wC"
"Treatment response prediction: Is model selection unreliable?","D Augustin, AC Walz, K Wang, B Lambert, M Clerx, M Robinson, ...","bioRxiv","2022.03. 19.483454",0,2022,NA,"2P1L_qKh6hAC"
"REVIEWING THE EVIDENCE FOR AND AGAINST SELECTION OF SPECIFIC PYRETHROIDS FOR PROGRAMMATIC PURPOSES","RS Lees, N Lissenden, T Churcher, P Hancock, H Ismail, M Kont, ...","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","105 (5), 432-432",0,2021,NA,"g5m5HwL7SMYC"
"Neutral Theory is a tool that should be wielded with care","AM Leroi, B Lambert, J Rosindell, GD Kokkoris","Nature Human Behaviour","5 (7), 809-809",0,2021,NA,"M3NEmzRMIkIC"
"Context-specific emergence and growth of the SARS-CoV-2 Delta variant (preprint)","M Kraemer, J McCrone, V Hill, S Bajaj, R Evans-Pena, B Lambert, ...","","",0,2021,NA,"EUQCXRtRnyEC"
"Context-specific emergence and growth of the SARS-CoV-2 Delta variant (preprint)","JT McCrone, V Hill, S Bajaj, RE Pena, BC Lambert, R Inward, S Bhatt, ...","","",0,2021,NA,"_xSYboBqXhAC"
"Supplementary materials: R convergence diagnostic","B Lambert, A Vehtari","arXiv preprint arXiv:",":2003.07900",0,2020,NA,"YFjsv_pBGBYC"
"INEQUITIES IN THE BURDEN OF FEVER, DIARRHEA AND ACUTE RESPIRATORY INFECTION IN CHILDREN UNDER FIVE IN LOW-AND MIDDLE-INCOME COUNTRIES AND THE ROLE OF INTEGRATED COMMUNITY CASE …","P Winskill, B Lambert, AB Hogan, PG Walker","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","101, 222-223",0,2019,NA,"_kc_bZDykSQC"
"A RIGOROUS AND REPRODUCIBLE BAYESIAN METHOD FOR DETERMINATION OF THE ORIGINS OF MALARIA INFECTION IN AREAS APPROACHING ELIMINATION","B Lambert, S Bhatt, T Churcher","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","99 (4), 357-357",0,2018,NA,"8k81kl-MbHgC"
"Understanding mosquito vectors and methods for their control","B Lambert","University of Oxford","",0,2017,NA,"9yKSN-GCB0IC"
"Characterising the Intensity of Insecticide Resistance: A Novel Framework for Analysis of Intensity Bioassay Data","MD Kont, B Lambert, A Sanou, J Williams, H Ranson, GM Foster, R Lees, ...","Available at SSRN","442587",0,NA,NA,"xtRiw3GOFMkC"
