"title","author","journal","number","cites","year","cid","pubid"
"The pace of modern culture","B Lambert, G Kontonatsios, M Mauch, T Kokkoris, M Jockers, ...","Nature Human Behaviour","4 (4), 352-360",27,2020,"14068337981691611342","Zph67rFs4hoC"
"Review and meta-analysis of the evidence for choosing between specific pyrethroids for programmatic purposes","N Lissenden, MD Kont, J Essandoh, HM Ismail, TS Churcher, B Lambert, ...","Insects","12 (9), 826",23,2021,"5496717770666301984","JV2RwH3_ST0C"
"The use of driving endonuclease genes to suppress mosquito vectors of malaria in temporally variable environments","B Lambert, A North, A Burt, HCJ Godfray","Malaria journal","17, 1-14",23,2018,"18035449431306822776","UeHWp8X0CEIC"
"A review of prospective pathways and impacts of COVID-19 on the accessibility, safety, quality, and affordability of essential medicines and vaccines for universal health …","F Amimo, B Lambert, A Magit, M Hashizume","Globalization and health","17 (1), 1-15",21,2021,"5340153401644755966","iH-uZ7U-co4C"
"Systematic review of the entomological impact of insecticide-treated nets evaluated using experimental hut trials in Africa","RK Nash, B Lambert, R NʼGuessan, C Ngufor, M Rowland, R Oxborough, ...","Current research in parasitology & vector-borne diseases","1, 100047",21,2021,"6819387533168951936","bEWYMUwI8FkC"
"Neutral syndrome","AM Leroi, B Lambert, J Rosindell, X Zhang, GD Kokkoris","Nature human behaviour","4 (8), 780-790",21,2020,"3792485849235570178","aqlVkmm33-oC"
"Endemic and epidemic human alphavirus infections in eastern Panama: An analysis of population-based cross-sectional surveys","JP Carrera, ZM Cucunuba, K Neira, B Lambert, Y Pittí, J Liscano, ...","The American journal of tropical medicine and hygiene","103 (6), 2429",20,2020,"15239144159974240452","KlAtU1dfN6UC"
"Exploring movement decisions: Can Bayesian movement‐state models explain crop consumption behaviour in elephants (Loxodonta africana)?","SM Vogel, B Lambert, AC Songhurst, GP McCulloch, AL Stronza, ...","Journal of Animal Ecology","89 (4), 1055-1068",16,2020,"3162129542351890576","YOwf2qJgpHMC"
"What does the COVID-19 pandemic mean for HIV, tuberculosis, and malaria control? Trop Med Health. 2020; 48: 32","F Amimo, B Lambert, A Magit","","",13,NA,"5003931826637390615","r0BpntZqJG4C"
"R∗: A robust MCMC convergence diagnostic with uncertainty using decision tree classifiers","B Lambert, A Vehtari","Bayesian Analysis","17 (2), 353-379",12,2022,"8256056172054141384,6317942686658629728","_Qo2XoVZTnwC"
"Estimating the extrinsic incubation period of malaria using a mechanistic model of sporogony","IJ Stopard, TS Churcher, B Lambert","PLoS computational biology","17 (2), e1008658",12,2021,"5149125304854441626","hFOr9nPyWt4C"
"A dynamic Bayesian model for identifying high-mortality risk in hospitalized COVID-19 patients","A Momeni-Boroujeni, R Mendoza, IJ Stopard, B Lambert, A Zuretti","Infectious disease reports","13 (1), 239-250",11,2021,"14076369863050383199","4JMBOYKVnBMC"
"A new WHO bottle bioassay method to assess the susceptibility of mosquito vectors to public health insecticides: results from a WHO-coordinated multi-centre study","V Corbel, MD Kont, ML Ahumada, L Andréo, B Bayili, K Bayili, B Brooke, ...","Parasites & vectors","16 (1), 1-17",9,2023,"5725329530423037307","4OULZ7Gr8RgC"
"Heterogeneity in the onwards transmission risk between local and imported cases affects practical estimates of the time-dependent reproduction number","R Creswell, D Augustin, I Bouros, HJ Farm, S Miao, A Ahern, M Robinson, ...","Philosophical Transactions of the Royal Society A","380 (2233), 20210308",9,2022,"12360493920536302732","HoB7MX3m0LUC"
"On revolutions","AM Leroi, B Lambert, M Mauch, M Papadopoulou, S Ananiadou, ...","Palgrave Communications","6 (1), 1-11",8,2020,"6023655679579834322","d1gkVwhDpl0C"
"Health inequities and clustering of fever, acute respiratory infection, diarrhoea and wasting in children under five in low-and middle-income countries: a Demographic and …","P Winskill, AB Hogan, J Thwing, L Mwandigha, PGT Walker, B Lambert","BMC medicine","19 (1), 1-11",7,2021,"14567010378043577567","k_IJM867U9cC"
"Functional data analysis techniques to improve the generalizability of near-infrared spectral data for monitoring mosquito populations","PM Esperança, DF Da, B Lambert, RK Dabiré, TS Churcher","bioRxiv","2020.04. 28.058495",6,2020,"4079660297218475160","M3ejUd6NZC8C"
"A Monte Carlo method to estimate cell population heterogeneity","B Lambert, DJ Gavaghan, S Tavener","bioRxiv","758284",6,2019,"285792829179463184,12872846560738609050","kNdYIx-mwKoC"
"The potential impact of the COVID-19 pandemic on HIV, tuberculosis, and malaria control in Africa: a systematic review of modelling studies and population surveys","F Amimo, B Lambert, A Magit, M Hashizume","","",5,2020,"12004316005460458489","mB3voiENLucC"
"HIV-1 p24Gag adaptation to modern and archaic HLA-allele frequency differences in ethnic groups contributes to viral subtype diversification","NC Kist, B Lambert, S Campbell, A Katzourakis, D Lunn, P Lemey, ...","Virus Evolution","6 (2), veaa085",5,2020,"2443007115765028552","HDshCWvjkbEC"
"Model evidence with fast tree based quadrature","T Foster, CL Lei, M Robinson, D Gavaghan, B Lambert","arXiv preprint arXiv:",":2005.11300",5,2020,"2612252036941875857","mVmsd5A6BfQC"
"Autocorrelated measurement processes and inference for ordinary differential equation models of biological systems","B Lambert, CL Lei, M Robinson, M Clerx, R Creswell, S Ghosh, S Tavener, ...","Journal of the Royal Society Interface","20 (199), 20220725",4,2023,"11694849331424335381","dfsIfKJdRG4C"
"Using flexible noise models to avoid noise model misspecification in inference of differential equation time series models","R Creswell, B Lambert, CL Lei, M Robinson, D Gavaghan","arXiv preprint arXiv:",":2011.04854",4,2020,"4631648244452166517","TQgYirikUcIC"
"A Bayesian nonparametric method for detecting rapid changes in disease transmission","R Creswell, M Robinson, D Gavaghan, KV Parag, CL Lei, B Lambert","Journal of Theoretical Biology","558, 111351",3,2023,"9188579782071281821","u_35RYKgDlwC"
"Learning transmission dynamics modelling of COVID-19 using comomodels","SA van der Vegt, L Dai, I Bouros, HJ Farm, R Creswell, O Dimdore-Miles, ...","Mathematical Biosciences","349, 108824",3,2022,"4989806215243310401","M05iB0D1s5AC"
"Movement behaviour after birth demonstrates precocial abilities of African savannah elephant, Loxodonta africana, calves","LA Taylor, G Wittemyer, B Lambert, I Douglas-Hamilton, F Vollrath","Animal Behaviour","187, 331-353",3,2022,"11568361822912015955","vV6vV6tmYwMC"
"Risk of Plasmodium falciparum infection in south-west Burkina Faso: potential impact of expanding eligibility for seasonal malaria chemoprevention","JB Yaro, AB Tiono, A Ouedraogo, B Lambert, ZA Ouedraogo, A Diarra, ...","Scientific Reports","12 (1), 1402",3,2022,"2215833303397438634","hMod-77fHWUC"
"Trends in comparative efficacy and safety of malaria control interventions for maternal and child health outcomes in Africa: a study protocol for a Bayesian network meta …","F Amimo, TD Moon, A Magit, J Sacarlal, B Lambert, S Nomura","BMJ open","9 (2), e024313",3,2019,"15439269531327774902","5nxA0vEk-isC"
"Inverse sensitivity analysis of mathematical models avoiding the curse of dimensionality","B Lambert, DJ Gavaghan, S Tavener","BioRxiv","432393",3,2018,"790034915153664965","Tyk-4Ss8FVUC"
"Genomic assessment of invasion dynamics of SARS-CoV-2 Omicron BA. 1","JLH Tsui, JT McCrone, B Lambert, S Bajaj, RPD Inward, P Bosetti, ...","Science","381 (6655), 336-343",2,2023,"3007592664532061918","pyW8ca7W8N0C"
"Changes in transmission of Enterovirus D68 (EV-D68) in England inferred from seroprevalence data","M Pons-Salort, B Lambert, E Kamau, R Pebody, H Harvala, P Simmonds, ...","Elife","12, e76609",2,2023,"8292621729275843882","ns9cj8rnVeAC"
"Reviewing the evidence for and against selection of specific pyrethroids for programmatic purposes","N Lissenden, T Churcher, P Hancock, HM Ismail, M Kont, B Lambert, ...","Liverpool Insect Testing Establishment","",2,2021,"6449681776991309604","j3f4tGmQtD8C"
"Identification and Attribution of Weekly Periodic Biases in Epidemiological Time Series Data","K Gallagher, R Creswell, D Gavaghan, B Lambert","medRxiv","2023.06. 13.23290903",1,2023,"3227544036148646263","1sJd4Hv_s6UC"
"The influence of selection, drift and immigration on the diversity of a tropical tree community","J Cid, B Lambert, AM Leroi","bioRxiv","2022.06. 27.497655",1,2022,"3713295861023789441","ZHo1McVdvXMC"
"Understanding the impact of numerical solvers on inference for differential equation models","R Creswell, KM Shepherd, B Lambert, GR Mirams, CL Lei, S Tavener, ...","arXiv preprint arXiv:",":2307.00749",0,2023,NA,"nb7KW1ujOQ8C"
"Filter inference: A scalable nonlinear mixed effects inference approach for snapshot time series data","D Augustin, B Lambert, K Wang, AC Walz, M Robinson, D Gavaghan","PLOS Computational Biology","19 (5), e1011135",0,2023,NA,"a0OBvERweLwC"
"SUPPLEMENTARY FILE: AUTOCORRELATED MEASUREMENT","B Lambert, CL Lei, M Robinson, M Clerx, R Creswell, S Ghosh, S Tavener, ...","","",0,2023,NA,"CHSYGLWDkRkC"
"Simulating clinical trials for model-informed precision dosing: Using warfarin treatment as a use case","D Augustin, B Lambert, M Robinson, K Wang, D Gavaghan","bioRxiv","2023.07. 31.551404",0,2023,NA,"u9iWguZQMMsC"
"Marburg Virus Disease outbreaks, mathematical models, and disease parameters: a Systematic Review","G Cuomo-Dannenburg, K McCain, R McCabe, HJT Unwin, P Doohan, ...","medRxiv","2023.07. 10.23292424",0,2023,NA,"uWQEDVKXjbEC"
"Understanding the impact of numerical solvers on inference for differential equation models (preprint)","R Creswell, KM Shepherd, B Lambert, GR Mirams, CL Lei, S Tavener, ...","","",0,2023,NA,"dshw04ExmUIC"
"Characterising the intensity of insecticide resistance: A novel framework for analysis of intensity bioassay data","MD Kont, B Lambert, A Sanou, J Williams, H Ranson, GM Foster, RS Lees, ...","Current Research in Parasitology & Vector-borne Diseases","4, 100125",0,2023,NA,"xtRiw3GOFMkC"
"Power analysis for human melatonin suppression experiments","M Spitschan, P Vidafar, SW Cain, AJK Phillips, BC Lambert","bioRxiv","2023.01. 30.526303",0,2023,NA,"f2IySw72cVMC"
"Epidemiological Agent-Based Modelling Software (Epiabm)","K Gallagher, I Bouros, N Fan, E Hayman, L Heirene, P Lamirande, ...","arXiv preprint arXiv:",":2212.04937",0,2022,NA,"D03iK_w7-QYC"
"A multistage mixed-methods evaluation protocol for the UKHSA testing response during the COVID-19 pandemic in England","R Naidoo, B Lambert, M Voysey, R Shretta, C Keene, M Wanat, ...","medRxiv","2022.10. 27.22281604",0,2022,NA,"yD5IFk8b50cC"
"Encoding generation time changes within reproduction numbers","KV Parag, BJ Cowling, BC Lambert","medRxiv","2022.10. 19.22281255",0,2022,NA,"cFHS6HbyZ2cC"
"Using patient biomarker time series to determine mortality risk in hospitalised COVID-19 patients: A comparative analysis across two New York hospitals","B Lambert, IJ Stopard, A Momeni-Boroujeni, R Mendoza, A Zuretti","Plos one","17 (8), e0272442",0,2022,NA,"RGFaLdJalmkC"
"The influence of selection, drift and immigration on the diversity of a tropical tree community","B Lambert, A Leroi","","",0,2022,NA,"rO6llkc54NcC"
"A Meta-analysis of Longevity Estimates of Mosquito Vectors of Disease","B Lambert, A North, HCJ Godfray","bioRxiv","2022.05. 30.494059",0,2022,NA,"pqnbT2bcN3wC"
"Treatment response prediction: Is model selection unreliable?","D Augustin, K Wang, AC Walz, B Lambert, M Clerx, M Robinson, ...","bioRxiv","2022.03. 19.483454",0,2022,NA,"2P1L_qKh6hAC"
"A Bayesian nonparametric method for detecting rapid changes in disease transmission (preprint)","R Creswell, M Robinson, D Gavaghan, K Parag, CL Lei, B Lambert","","",0,2022,NA,"SP6oXDckpogC"
"A multistage mixed-methods evaluation of the UKHSA testing response during the COVID-19 pandemic in England (preprint)","R Naidoo, B Andersen-waine, P Dahal, S Dickinson, B Lambert, M Mills, ...","","",0,2022,NA,"NhqRSupF_l8C"
"REVIEWING THE EVIDENCE FOR AND AGAINST SELECTION OF SPECIFIC PYRETHROIDS FOR PROGRAMMATIC PURPOSES","RS Lees, N Lissenden, T Churcher, P Hancock, H Ismail, M Kont, ...","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","105 (5), 432-432",0,2021,NA,"g5m5HwL7SMYC"
"Neutral Theory is a tool that should be wielded with care","AM Leroi, B Lambert, J Rosindell, GD Kokkoris","Nature Human Behaviour","5 (7), 809-809",0,2021,NA,"M3NEmzRMIkIC"
"A Dynamic Bayesian Model for Identifying High-Mortality Risk in Hospitalized COVID-19 Patients (preprint)","A Momeni-Boroujeni, R Mendoza, I Stopard, B Lambert, A Zuretti","","",0,2021,NA,"OU6Ihb5iCvQC"
"Context-specific emergence and growth of the SARS-CoV-2 Delta variant (preprint)","M Kraemer, J McCrone, V Hill, S Bajaj, R Evans-Pena, B Lambert, ...","","",0,2021,NA,"EUQCXRtRnyEC"
"Context-specific emergence and growth of the SARS-CoV-2 Delta variant (preprint)","JT McCrone, V Hill, S Bajaj, RE Pena, BC Lambert, R Inward, S Bhatt, ...","","",0,2021,NA,"_xSYboBqXhAC"
"Supplementary materials: R convergence diagnostic","B Lambert, A Vehtari","arXiv preprint arXiv:",":2003.07900",0,2020,NA,"YFjsv_pBGBYC"
"INEQUITIES IN THE BURDEN OF FEVER, DIARRHEA AND ACUTE RESPIRATORY INFECTION IN CHILDREN UNDER FIVE IN LOW-AND MIDDLE-INCOME COUNTRIES AND THE ROLE OF INTEGRATED COMMUNITY CASE …","P Winskill, B Lambert, AB Hogan, PG Walker","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","101, 222-223",0,2019,NA,"_kc_bZDykSQC"
"A RIGOROUS AND REPRODUCIBLE BAYESIAN METHOD FOR DETERMINATION OF THE ORIGINS OF MALARIA INFECTION IN AREAS APPROACHING ELIMINATION","B Lambert, S Bhatt, T Churcher","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","99 (4), 357-357",0,2018,NA,"8k81kl-MbHgC"
"Understanding mosquito vectors and methods for their control","B Lambert","University of Oxford","",0,2017,NA,"9yKSN-GCB0IC"
"Genomic assessment of invasion dynamics of SARS-CoV-2 Omicron BA.","LH Joseph, JT McCrone, B Lambert, S Bajaj, RPD Inward, P Bosetti, ...","","",0,NA,NA,"p2g8aNsByqUC"
"Current Research in Parasitology & Vector-Borne Diseases","RK Nash, B Lambert, R NʼGuessan, C Ngufor, M Rowland, R Oxborough, ...","","",0,NA,NA,"UxriW0iASnsC"
