"title","author","journal","number","cites","year","cid","pubid"
"What does the COVID-19 pandemic mean for HIV, tuberculosis, and malaria control? Trop Med Health. 2020; 48: 32","F Amimo, B Lambert, A Magit","","",13,NA,"5003931826637390615","r0BpntZqJG4C"
"Estimating the extrinsic incubation period of malaria using a mechanistic model of sporogony","IJ Stopard, TS Churcher, B Lambert","PLoS computational biology","17 (2), e1008658",10,2021,"5149125304854441626","hFOr9nPyWt4C"
"Review and meta-analysis of the evidence for choosing between specific pyrethroids for programmatic purposes","N Lissenden, MD Kont, J Essandoh, HM Ismail, TS Churcher, B Lambert, ...","Insects","12 (9), 826",9,2021,"5496717770666301984","JV2RwH3_ST0C"
"Heterogeneity in the onwards transmission risk between local and imported cases affects practical estimates of the time-dependent reproduction number","R Creswell, D Augustin, I Bouros, HJ Farm, S Miao, A Ahern, M Robinson, ...","Philosophical Transactions of the Royal Society A","380 (2233), 20210308",7,2022,"4406525749069639830","HoB7MX3m0LUC"
"A dynamic Bayesian model for identifying high-mortality risk in hospitalized COVID-19 patients","A Momeni-Boroujeni, R Mendoza, IJ Stopard, B Lambert, A Zuretti","Infectious disease reports","13 (1), 239-250",7,2021,"14076369863050383199","4JMBOYKVnBMC"
"On revolutions","AM Leroi, B Lambert, M Mauch, M Papadopoulou, S Ananiadou, ...","Palgrave Communications","6 (1), 1-11",7,2020,"6023655679579834322","d1gkVwhDpl0C"
"Functional data analysis techniques to improve the generalizability of near-infrared spectral data for monitoring mosquito populations","PM Esperança, DF Da, B Lambert, RK Dabiré, TS Churcher","bioRxiv","",6,2020,"4079660297218475160","M3ejUd6NZC8C"
"R∗: A robust MCMC convergence diagnostic with uncertainty using decision tree classifiers","B Lambert, A Vehtari","Bayesian Analysis","17 (2), 353-379",5,2022,"8256056172054141384","_Qo2XoVZTnwC"
"The potential impact of the COVID-19 pandemic on HIV, tuberculosis, and malaria control in Africa: a systematic review of modelling studies and population surveys","F Amimo, B Lambert, A Magit, M Hashizume","","",5,2020,"12004316005460458489","mB3voiENLucC"
"Model evidence with fast tree based quadrature","T Foster, CL Lei, M Robinson, D Gavaghan, B Lambert","arXiv preprint arXiv:",":2005.11300",5,2020,"2612252036941875857","mVmsd5A6BfQC"
"A Monte Carlo method to estimate cell population heterogeneity","B Lambert, DJ Gavaghan, S Tavener","bioRxiv","758284",5,2019,"285792829179463184,12872846560738609050","kNdYIx-mwKoC"
"HIV-1 p24Gag adaptation to modern and archaic HLA-allele frequency differences in ethnic groups contributes to viral subtype diversification","NC Kist, B Lambert, S Campbell, A Katzourakis, D Lunn, P Lemey, ...","Virus evolution","6 (2), veaa085",4,2020,"2443007115765028552","HDshCWvjkbEC"
"Health inequities and clustering of fever, acute respiratory infection, diarrhoea and wasting in children under five in low-and middle-income countries: a Demographic and …","P Winskill, AB Hogan, J Thwing, L Mwandigha, PGT Walker, B Lambert","BMC medicine","19 (1), 1-11",3,2021,"14567010378043577567","k_IJM867U9cC"
"Inverse sensitivity analysis of mathematical models avoiding the curse of dimensionality","B Lambert, DJ Gavaghan, S Tavener","BioRxiv","432393",3,2018,"790034915153664965","Tyk-4Ss8FVUC"
"Risk of Plasmodium falciparum infection in south-west Burkina Faso: potential impact of expanding eligibility for seasonal malaria chemoprevention","JB Yaro, AB Tiono, A Ouedraogo, B Lambert, ZA Ouedraogo, A Diarra, ...","Scientific Reports","12 (1), 1-11",2,2022,"2215833303397438634","hMod-77fHWUC"
"Using flexible noise models to avoid noise model misspecification in inference of differential equation time series models","R Creswell, B Lambert, CL Lei, M Robinson, D Gavaghan","arXiv preprint arXiv:",":2011.04854",2,2020,"4631648244452166517","TQgYirikUcIC"
"Trends in comparative efficacy and safety of malaria control interventions for maternal and child health outcomes in Africa: a study protocol for a Bayesian network meta …","F Amimo, TD Moon, A Magit, J Sacarlal, B Lambert, S Nomura","BMJ open","9 (2), e024313",2,2019,"15439269531327774902","5nxA0vEk-isC"
"Learning transmission dynamics modelling of COVID-19 using comomodels","SA van der Vegt, L Dai, I Bouros, HJ Farm, R Creswell, O Dimdore-Miles, ...","Mathematical biosciences","108824",1,2022,"4989806215243310401","M05iB0D1s5AC"
"Changes in transmission of Enterovirus D68 (EV-D68) in England inferred from seroprevalence data","M Pons-Salort, B Lambert, E Kamau, R Pebody, H Harvala, P Simmonds, ...","medRxiv","",1,2021,"10939939634999200247","ns9cj8rnVeAC"
"Reviewing the evidence for and against selection of specific pyrethroids for programmatic purposes","N Lissenden, T Churcher, P Hancock, HM Ismail, M Kont, B Lambert, ...","","",1,2020,"9378646506898608323","j3f4tGmQtD8C"
"A Bayesian nonparametric method for detecting rapid changes in disease transmission","R Creswell, M Robinson, D Gavaghan, KV Parag, CL Lei, B Lambert","Journal of Theoretical Biology","558, 111351",0,2023,NA,"u_35RYKgDlwC"
"Epidemiological Agent-Based Modelling Software (Epiabm)","K Gallagher, I Bouros, N Fan, E Hayman, L Heirene, P Lamirande, ...","arXiv preprint arXiv:",":2212.04937",0,2022,NA,"D03iK_w7-QYC"
"Autocorrelated measurement processes and inference for ordinary differential equation models of biological systems","B Lambert, CL Lei, M Robinson, M Clerx, R Creswell, S Ghosh, S Tavener, ...","arXiv preprint arXiv:",":2210.01592",0,2022,NA,"dfsIfKJdRG4C"
"A new WHO bottle bioassay method to assess the susceptibility of mosquito vectors to public health insecticides: results from a WHO-coordinated multi-centre study","V Corbel, MD Kont, ML Ahumada, L Andréo, B Bayili, K BAYILI, B Brooke, ...","","",0,2022,NA,"4OULZ7Gr8RgC"
"Using patient biomarker time series to determine mortality risk in hospitalised COVID-19 patients: a comparative analysis across two New York hospitals","B Lambert, IJ Stopard, A Momeni-Boroujeni, R Mendoza, A Zuretti","Plos one","17 (8), e0272442",0,2022,NA,"RGFaLdJalmkC"
"The influence of selection, drift and immigration on the diversity of a tropical tree community","B Lambert, A Leroi","","",0,2022,NA,"rO6llkc54NcC"
"Movement behaviour after birth demonstrates precocial abilities of African savannah elephant, Loxodonta africana, calves","LA Taylor, G Wittemyer, B Lambert, I Douglas-Hamilton, F Vollrath","Animal Behaviour","187, 331-353",0,2022,NA,"vV6vV6tmYwMC"
"Filter inference: A scalable nonlinear mixed effects inference approach for snapshot time series data","D Augustin, B Lambert, K Wang, AC Walz, M Robinson, D Gavaghan","bioRxiv","",0,2022,NA,"a0OBvERweLwC"
"A multistage mixed-methods evaluation of the UKHSA testing response during the COVID-19 pandemic in England","R Naidoo, B Andersen-Waine, P Dahal, S Dickinson, B Lambert, M Mills, ...","medRxiv","",0,2022,NA,"yD5IFk8b50cC"
"Encoding generation time changes within reproduction numbers","KV Parag, B Cowling, BC Lambert","medRxiv","",0,2022,NA,"cFHS6HbyZ2cC"
"The influence of selection, drift and immigration on the diversity of a tropical tree community","JC Vian, B Lambert, A Leroi","bioRxiv","",0,2022,NA,"ZHo1McVdvXMC"
"A Meta-analysis of Longevity Estimates of Mosquito Vectors of Disease","B Lambert, A North, C Godfray","bioRxiv","",0,2022,NA,"pqnbT2bcN3wC"
"Treatment response prediction: Is model selection unreliable?","D Augustin, AC Walz, K Wang, B Lambert, M Clerx, M Robinson, ...","bioRxiv","",0,2022,NA,"2P1L_qKh6hAC"
"REVIEWING THE EVIDENCE FOR AND AGAINST SELECTION OF SPECIFIC PYRETHROIDS FOR PROGRAMMATIC PURPOSES","RS Lees, N Lissenden, T Churcher, P Hancock, H Ismail, M Kont, ...","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","105 (5), 432-432",0,2021,NA,"g5m5HwL7SMYC"
"Neutral Theory is a tool that should be wielded with care","AM Leroi, B Lambert, J Rosindell, GD Kokkoris","Nature Human Behaviour","5 (7), 809-809",0,2021,NA,"M3NEmzRMIkIC"
"Supplementary materials: R convergence diagnostic","B Lambert, A Vehtari","arXiv preprint arXiv:",":2003.07900",0,2020,NA,"YFjsv_pBGBYC"
"INEQUITIES IN THE BURDEN OF FEVER, DIARRHEA AND ACUTE RESPIRATORY INFECTION IN CHILDREN UNDER FIVE IN LOW-AND MIDDLE-INCOME COUNTRIES AND THE ROLE OF INTEGRATED COMMUNITY CASE …","P Winskill, B Lambert, AB Hogan, PG Walker","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","101, 222-223",0,2019,NA,"_kc_bZDykSQC"
"A RIGOROUS AND REPRODUCIBLE BAYESIAN METHOD FOR DETERMINATION OF THE ORIGINS OF MALARIA INFECTION IN AREAS APPROACHING ELIMINATION","B Lambert, S Bhatt, T Churcher","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","99 (4), 357-357",0,2018,NA,"8k81kl-MbHgC"
"Understanding mosquito vectors and methods for their control","B Lambert","University of Oxford","",0,2017,NA,"9yKSN-GCB0IC"
"Current Research in Parasitology & Vector-Borne Diseases","RK Nash, B Lambert, R NʼGuessan, C Ngufor, M Rowland, R Oxborough, ...","","",0,NA,NA,"blknAaTinKkC"
